Order ID,Order Date,Sales,Quantity,Discount,Discount Amount,Profit
US-2015-150630,9/17/2015,86.304,6,0.2,103.5648,9.7092
US-2015-150630,9/17/2015,6.858,6,0.7,28.8036,-5.715
US-2015-150630,9/17/2015,15.76,2,0.2,6.304,3.546
CA-2017-107727,10/19/2017,29.472,3,0.2,17.6832,9.9468
CA-2016-117590,12/8/2016,1097.544,7,0.2,1536.5616,123.4737
CA-2016-117590,12/8/2016,190.92,5,0.6,572.76,-147.963
CA-2015-117415,12/27/2015,113.328,9,0.2,203.9904,35.415
CA-2015-117415,12/27/2015,532.3992,3,0.32,511.103232,-46.9764
CA-2015-117415,12/27/2015,212.058,3,0.3,190.8522,-15.147
CA-2015-117415,12/27/2015,371.168,4,0.2,296.9344,41.7564
CA-2017-120999,9/10/2017,147.168,4,0.2,117.7344,16.5564
CA-2016-101343,7/17/2016,77.88,2,0,0,3.894
CA-2017-139619,9/19/2017,95.616,2,0.2,38.2464,9.5616
CA-2016-118255,3/11/2016,45.98,2,0,0,19.7714
CA-2016-118255,3/11/2016,17.46,2,0,0,8.2062
CA-2014-146703,10/20/2014,211.96,4,0,0,8.4784
CA-2016-169194,6/20/2016,45,3,0,0,4.95
CA-2016-169194,6/20/2016,21.8,2,0,0,6.104
CA-2015-115742,4/18/2015,38.22,6,0,0,17.9634
CA-2015-115742,4/18/2015,75.18,6,0,0,35.3346
CA-2015-115742,4/18/2015,6.16,2,0,0,2.9568
CA-2015-115742,4/18/2015,89.99,1,0,0,17.0981
CA-2016-105816,12/11/2016,15.26,7,0,0,6.2566
CA-2016-105816,12/11/2016,1029.95,5,0,0,298.6855
CA-2016-111682,6/17/2016,208.56,6,0,0,52.14
CA-2016-111682,6/17/2016,32.4,5,0,0,15.552
CA-2016-111682,6/17/2016,319.41,5,0.1,159.705,7.098
CA-2016-111682,6/17/2016,14.56,2,0,0,6.9888
CA-2016-111682,6/17/2016,30,2,0,0,3.3
CA-2016-111682,6/17/2016,48.48,4,0.2,38.784,16.362
CA-2016-111682,6/17/2016,1.68,1,0,0,0.84
CA-2015-135545,11/24/2015,13.98,2,0,0,6.1512
CA-2015-135545,11/24/2015,25.824,6,0.2,30.9888,9.3612
CA-2015-135545,11/24/2015,146.73,3,0,0,68.9631
CA-2015-135545,11/24/2015,79.76,4,0,0,22.3328
US-2015-164175,4/30/2015,213.115,5,0.3,319.6725,-15.2225
CA-2014-106376,12/5/2014,1113.024,8,0.2,1780.8384,111.3024
CA-2014-106376,12/5/2014,167.968,4,0.2,134.3744,62.988
CA-2016-119823,6/4/2016,75.88,2,0,0,35.6636
CA-2016-106075,9/18/2016,4.616,1,0.2,0.9232,1.731
CA-2017-114440,9/14/2017,19.05,3,0,0,8.763
US-2015-134026,4/26/2015,831.936,8,0.2,1331.0976,-114.3912
US-2015-134026,4/26/2015,97.04,2,0.2,38.816,1.213
US-2015-134026,4/26/2015,72.784,1,0.2,14.5568,-18.196
US-2017-118038,12/9/2017,1.248,3,0.8,2.9952,-1.9344
US-2017-118038,12/9/2017,9.708,3,0.6,17.4744,-5.8248
US-2017-118038,12/9/2017,27.24,3,0.2,16.344,2.724
US-2014-147606,11/26/2014,19.3,5,0.6,57.9,-14.475
CA-2016-127208,6/12/2016,208.16,1,0,0,56.2032
CA-2016-127208,6/12/2016,16.74,3,0,0,8.0352
CA-2014-139451,10/12/2014,14.9,5,0,0,4.172
CA-2014-139451,10/12/2014,21.39,1,0,0,6.2031
CA-2015-149734,9/3/2015,200.984,7,0.2,281.3776,62.8075
US-2017-119662,11/13/2017,230.376,3,0.2,138.2256,-48.9549
CA-2017-140088,5/28/2017,301.96,2,0,0,33.2156
CA-2017-155558,10/26/2017,19.99,1,0,0,6.7966
CA-2017-155558,10/26/2017,6.16,2,0,0,2.9568
CA-2016-159695,4/5/2016,158.368,7,0.2,221.7152,13.8572
CA-2016-109806,9/17/2016,20.1,3,0,0,6.633
CA-2016-109806,9/17/2016,73.584,2,0.2,29.4336,8.2782
CA-2016-109806,9/17/2016,6.48,1,0,0,3.1104
CA-2015-149587,1/31/2015,12.96,2,0,0,6.2208
CA-2015-149587,1/31/2015,53.34,3,0,0,16.5354
CA-2015-149587,1/31/2015,32.96,2,0,0,16.1504
US-2017-109484,11/6/2017,5.682,1,0.7,3.9774,-3.788
CA-2017-161018,11/9/2017,96.53,7,0,0,40.5426
CA-2017-157833,6/17/2017,51.312,3,0.2,30.7872,17.9592
CA-2016-149223,9/6/2016,77.88,6,0,0,22.5852
CA-2016-158568,8/29/2016,64.624,7,0.2,90.4736,22.6184
CA-2016-158568,8/29/2016,95.976,3,0.2,57.5856,-10.7973
CA-2016-158568,8/29/2016,1.788,3,0.8,4.2912,-3.0396
CA-2016-129903,12/1/2016,23.92,4,0,0,11.7208
US-2015-156867,11/13/2015,238.896,6,0.2,286.6752,-26.8758
US-2015-156867,11/13/2015,102.36,3,0.2,61.416,-3.8385
US-2015-156867,11/13/2015,36.882,3,0.7,77.4522,-25.8174
CA-2017-119004,11/23/2017,74.112,8,0.2,118.5792,17.6016
CA-2017-119004,11/23/2017,27.992,1,0.2,5.5984,2.0994
CA-2017-119004,11/23/2017,3.304,1,0.2,0.6608,1.0738
CA-2015-129476,10/15/2015,339.96,5,0.2,339.96,67.992
CA-2017-146780,12/25/2017,41.96,2,0,0,10.9096
CA-2016-128867,11/3/2016,75.96,2,0,0,22.788
CA-2016-128867,11/3/2016,27.24,6,0,0,13.3476
CA-2014-115259,8/25/2014,40.096,14,0.2,112.2688,14.5348
CA-2014-115259,8/25/2014,4.72,2,0.2,1.888,1.652
CA-2014-115259,8/25/2014,23.976,3,0.2,14.3856,7.4925
CA-2014-115259,8/25/2014,130.464,6,0.2,156.5568,44.0316
CA-2015-110457,3/2/2015,787.53,3,0,0,165.3813
US-2015-136476,4/5/2015,157.794,1,0.7,110.4558,-115.7156
CA-2016-103730,6/12/2016,47.04,3,0,0,18.3456
CA-2016-103730,6/12/2016,30.84,4,0,0,13.878
CA-2016-103730,6/12/2016,226.56,6,0,0,63.4368
CA-2016-103730,6/12/2016,115.02,9,0,0,51.759
CA-2016-103730,6/12/2016,68.04,7,0,0,19.7316
US-2014-152030,12/26/2014,600.558,3,0.3,540.5022,-8.5794
US-2014-134614,9/20/2014,617.7,6,0.5,1853.1,-407.682
US-2017-107272,11/5/2017,2.388,2,0.7,3.3432,-1.8308
US-2017-107272,11/5/2017,243.992,7,0.2,341.5888,30.499
US-2016-125969,11/6/2016,81.424,2,0.2,32.5696,-9.1602
US-2016-125969,11/6/2016,238.56,3,0,0,26.2416
US-2017-164147,2/2/2017,59.97,5,0.4,119.94,-11.994
US-2017-164147,2/2/2017,78.304,2,0.2,31.3216,29.364
US-2017-164147,2/2/2017,21.456,9,0.2,38.6208,6.9732
CA-2016-145583,10/13/2016,20.04,3,0,0,9.6192
CA-2016-145583,10/13/2016,35.44,1,0,0,16.6568
CA-2016-145583,10/13/2016,11.52,4,0,0,3.456
CA-2016-145583,10/13/2016,4.02,2,0,0,1.9698
CA-2016-145583,10/13/2016,76.176,3,0.2,45.7056,26.6616
CA-2016-145583,10/13/2016,65.88,6,0,0,18.4464
CA-2016-145583,10/13/2016,43.12,14,0,0,20.6976
CA-2016-110366,9/5/2016,82.8,2,0.2,33.12,10.35
CA-2017-106180,9/18/2017,8.82,3,0,0,2.3814
CA-2017-106180,9/18/2017,10.86,3,0,0,5.1042
CA-2017-106180,9/18/2017,143.7,3,0,0,68.976
CA-2017-155376,12/22/2017,839.43,3,0,0,218.2518
CA-2015-110744,9/7/2015,671.93,7,0,0,20.1579
CA-2014-110072,10/22/2014,93.888,4,0.2,75.1104,12.9096
CA-2016-114489,12/5/2016,384.45,11,0,0,103.8015
CA-2016-114489,12/5/2016,149.97,3,0,0,5.9988
CA-2016-114489,12/5/2016,1951.84,8,0,0,585.552
CA-2016-114489,12/5/2016,171.55,5,0,0,80.6285
CA-2016-158834,3/13/2016,157.92,5,0.2,157.92,17.766
CA-2016-158834,3/13/2016,203.184,2,0.2,81.2736,15.2388
CA-2015-124919,5/31/2015,58.38,7,0,0,26.271
CA-2015-124919,5/31/2015,105.52,4,0,0,48.5392
CA-2015-124919,5/31/2015,80.88,6,0,0,21.0288
CA-2015-118948,5/28/2015,6.63,3,0,0,1.7901
CA-2014-104269,3/1/2014,457.568,2,0.2,183.0272,51.4764
CA-2016-114104,11/20/2016,14.62,2,0,0,6.8714
CA-2016-114104,11/20/2016,944.93,7,0,0,236.2325
CA-2016-162733,5/11/2016,5.98,1,0,0,2.691
CA-2015-119697,12/28/2015,54.384,2,0.2,21.7536,1.3596
CA-2016-154508,11/16/2016,28.4,5,0,0,13.348
CA-2016-113817,11/7/2016,27.68,2,0.2,11.072,9.688
CA-2014-139892,9/8/2014,9.936,3,0.2,5.9616,2.7324
CA-2014-139892,9/8/2014,8159.952,8,0.4,26111.8464,-1359.992
CA-2014-139892,9/8/2014,275.928,3,0.2,165.5568,-58.6347
CA-2014-139892,9/8/2014,1740.06,9,0.3,4698.162,-24.858
CA-2014-139892,9/8/2014,32.064,6,0.2,38.4768,6.8136
CA-2014-139892,9/8/2014,177.98,5,0.8,711.92,-453.849
CA-2014-139892,9/8/2014,143.976,3,0.2,86.3856,8.9985
CA-2014-118962,8/5/2014,20.94,3,0,0,9.8418
CA-2014-118962,8/5/2014,110.96,2,0,0,53.2608
CA-2014-118962,8/5/2014,340.144,7,0.2,476.2016,21.259
US-2014-100853,9/14/2014,52.448,2,0.8,83.9168,-131.12
US-2014-100853,9/14/2014,20.16,4,0.2,16.128,6.552
US-2017-152366,4/21/2017,97.264,4,0.8,311.2448,-243.16
US-2015-101511,11/21/2015,396.802,7,0.3,833.2842,-11.3372
US-2015-101511,11/21/2015,15.88,5,0.2,15.88,-3.7715
CA-2015-137225,12/15/2015,3.28,1,0,0,1.4104
CA-2014-166191,12/5/2014,24.816,2,0.2,9.9264,1.8612
CA-2014-166191,12/5/2014,408.744,7,0.2,572.2416,76.6395
CA-2014-158274,11/19/2014,503.96,4,0,0,131.0296
CA-2014-158274,11/19/2014,149.95,5,0,0,41.986
CA-2014-158274,11/19/2014,29,2,0,0,7.25
CA-2016-105018,11/28/2016,7.16,2,0,0,3.4368
CA-2014-123260,8/26/2014,176.8,8,0,0,22.984
CA-2016-157000,7/16/2016,37.224,3,0.2,22.3344,3.7224
CA-2016-157000,7/16/2016,20.016,3,0.2,12.0096,6.255
CA-2015-102281,10/12/2015,899.136,4,0.2,719.3088,112.392
CA-2015-102281,10/12/2015,71.76,6,0,0,20.0928
CA-2015-102281,10/12/2015,51.84,8,0,0,24.8832
CA-2015-102281,10/12/2015,626.352,3,0.2,375.8112,46.9764
CA-2015-102281,10/12/2015,19.9,5,0,0,6.567
CA-2015-131457,10/31/2015,14.28,7,0,0,6.7116
CA-2014-140004,3/21/2014,7.408,2,0.2,2.9632,1.2038
CA-2014-140004,3/21/2014,6.048,3,0.2,3.6288,1.5876
CA-2017-107720,11/6/2017,46.26,3,0,0,12.0276
US-2017-124303,7/6/2017,2.946,2,0.7,4.1244,-2.2586
US-2017-124303,7/6/2017,16.056,3,0.2,9.6336,5.8203
CA-2017-105074,6/24/2017,21.744,3,0.2,13.0464,6.795
CA-2014-133690,8/3/2014,218.75,2,0.5,218.75,-161.875
CA-2014-133690,8/3/2014,2.6,1,0.2,0.52,0.2925
US-2017-116701,12/17/2017,66.284,2,0.8,106.0544,-178.9668
CA-2017-126382,6/3/2017,35.168,7,0.2,49.2352,9.6712
CA-2017-108329,12/9/2017,444.768,4,0.2,355.8144,44.4768
CA-2017-135860,12/1/2017,83.92,4,0,0,5.8744
CA-2017-135860,12/1/2017,131.98,2,0,0,35.6346
CA-2017-135860,12/1/2017,15.92,4,0,0,7.4824
CA-2017-135860,12/1/2017,52.29,9,0,0,16.2099
CA-2017-135860,12/1/2017,91.99,1,0,0,3.6796
CA-2015-101007,2/9/2015,20.8,2,0.2,8.32,6.5
CA-2015-146262,1/2/2015,23.68,2,0.2,9.472,8.88
CA-2015-146262,1/2/2015,452.45,5,0.5,1131.125,-244.323
CA-2015-146262,1/2/2015,62.982,3,0.4,75.5784,-14.6958
CA-2015-146262,1/2/2015,1188,9,0.7,7484.4,-950.4
CA-2015-146262,1/2/2015,89.584,2,0.2,35.8336,4.4792
CA-2016-130162,10/28/2016,93.06,6,0,0,26.0568
CA-2016-130162,10/28/2016,302.376,3,0.2,181.4256,22.6782
CA-2015-169397,12/24/2015,5.584,2,0.2,2.2336,1.8148
CA-2015-169397,12/24/2015,22.704,6,0.2,27.2448,8.2302
CA-2015-169397,12/24/2015,19.776,4,0.7,55.3728,-13.8432
CA-2015-169397,12/24/2015,72.704,4,0.2,58.1632,19.0848
CA-2015-169397,12/24/2015,479.988,4,0.7,1343.9664,-383.9904
CA-2015-169397,12/24/2015,27.168,2,0.2,10.8672,2.7168
CA-2015-163055,8/9/2015,2.2,1,0,0,0.968
CA-2015-163055,8/9/2015,622.45,5,0,0,136.939
CA-2015-163055,8/9/2015,21.98,1,0,0,0.2198
US-2015-145436,2/28/2015,161.568,2,0.2,64.6272,-28.2744
US-2015-145436,2/28/2015,389.696,8,0.2,623.5136,43.8408
US-2014-156216,9/13/2014,18.648,7,0.7,91.3752,-12.432
US-2017-100930,4/7/2017,233.86,2,0.45,210.474,-102.048
US-2017-100930,4/7/2017,620.6145,3,0.45,837.829575,-248.2458
US-2017-100930,4/7/2017,5.328,2,0.7,7.4592,-3.552
US-2017-100930,4/7/2017,258.072,3,0.2,154.8432,0
US-2017-100930,4/7/2017,617.976,3,0.2,370.7856,-7.7247
CA-2017-160514,11/12/2017,10.56,2,0,0,4.752
CA-2016-157749,6/4/2016,25.92,5,0.2,25.92,9.396
CA-2016-157749,6/4/2016,419.68,5,0.6,1259.04,-356.728
CA-2016-157749,6/4/2016,11.688,3,0.6,21.0384,-4.6752
CA-2016-157749,6/4/2016,31.984,2,0.2,12.7936,11.1944
CA-2016-157749,6/4/2016,177.225,5,0.5,443.0625,-120.513
CA-2016-157749,6/4/2016,4.044,3,0.6,7.2792,-2.8308
CA-2016-157749,6/4/2016,7.408,2,0.2,2.9632,1.2038
CA-2014-131926,6/1/2014,2001.86,7,0,0,580.5394
CA-2014-131926,6/1/2014,166.72,2,0,0,41.68
CA-2014-131926,6/1/2014,47.88,6,0,0,23.94
CA-2014-131926,6/1/2014,1503.25,5,0,0,496.0725
CA-2014-131926,6/1/2014,25.92,4,0,0,12.4416
CA-2016-154739,12/10/2016,321.568,2,0.2,128.6272,28.1372
CA-2016-145625,9/11/2016,7.61,1,0,0,3.5767
CA-2016-145625,9/11/2016,3347.37,13,0,0,636.0003
CA-2016-146941,12/10/2016,80.58,6,0,0,22.5624
CA-2016-146941,12/10/2016,361.92,4,0,0,162.864
US-2015-159982,11/28/2015,12.132,9,0.6,65.5128,-8.4924
US-2015-159982,11/28/2015,82.368,2,0.2,32.9472,-19.5624
US-2015-159982,11/28/2015,53.92,5,0.2,53.92,4.044
US-2015-159982,11/28/2015,647.904,6,0.2,777.4848,56.6916
CA-2017-163139,12/1/2017,20.37,3,0,0,6.9258
CA-2017-163139,12/1/2017,221.55,3,0,0,6.6465
CA-2017-163139,12/1/2017,17.52,5,0.2,17.52,6.132
US-2017-155299,6/8/2017,1.624,2,0.8,2.5984,-4.466
US-2014-106992,9/19/2014,3059.982,3,0.4,3671.9784,-509.997
US-2014-106992,9/19/2014,2519.958,7,0.4,7055.8824,-251.9958
CA-2016-125318,6/6/2016,328.224,4,0.2,262.5792,28.7196
CA-2015-155040,11/10/2015,79.9,2,0,0,35.156
CA-2017-136826,6/16/2017,14.016,3,0.2,8.4096,4.7304
CA-2016-111010,1/22/2016,7.56,6,0,0,0.3024
US-2017-145366,12/9/2017,37.208,1,0.2,7.4416,-7.4416
US-2017-145366,12/9/2017,57.576,3,0.2,34.5456,21.591
CA-2017-163979,12/28/2017,725.84,4,0,0,210.4936
CA-2015-155334,7/30/2015,209.93,7,0,0,92.3692
CA-2015-155334,7/30/2015,5.28,3,0,0,2.3232
CA-2015-155334,7/30/2015,10.92,3,0.2,6.552,4.095
CA-2017-118136,9/16/2017,8.82,2,0,0,4.0572
CA-2017-118136,9/16/2017,5.98,1,0,0,1.5548
CA-2017-132976,10/13/2017,11.648,2,0.2,4.6592,4.0768
CA-2017-132976,10/13/2017,18.176,4,0.2,14.5408,5.9072
CA-2017-132976,10/13/2017,59.712,6,0.2,71.6544,5.9712
CA-2017-132976,10/13/2017,24.84,3,0.2,14.904,8.694
US-2015-161991,9/26/2015,2.08,5,0.8,8.32,-3.432
US-2015-161991,9/26/2015,1114.4,7,0.2,1560.16,376.11
CA-2015-130890,11/2/2015,1038.84,5,0.2,1038.84,51.942
CA-2015-130883,9/26/2015,141.76,5,0.2,141.76,47.844
CA-2015-130883,9/26/2015,239.8,5,0.2,239.8,47.96
CA-2015-130883,9/26/2015,31.104,6,0.2,37.3248,10.8864
CA-2016-112697,12/18/2016,254.058,7,0.7,1244.8842,-169.372
CA-2016-112697,12/18/2016,194.528,2,0.2,77.8112,24.316
CA-2016-112697,12/18/2016,961.48,5,0.2,961.48,-204.3145
CA-2016-110772,11/20/2016,19.096,7,0.2,26.7344,6.6836
CA-2016-110772,11/20/2016,18.496,8,0.2,29.5936,6.2424
CA-2016-110772,11/20/2016,255.984,2,0.2,102.3936,54.3966
CA-2016-110772,11/20/2016,86.97,3,0.5,130.455,-48.7032
CA-2014-111451,12/26/2014,300.416,8,0.2,480.6656,78.8592
CA-2014-111451,12/26/2014,230.352,3,0.2,138.2112,20.1558
CA-2014-111451,12/26/2014,218.352,3,0.2,131.0112,-24.5646
CA-2014-111451,12/26/2014,78.6,5,0.7,275.1,-62.88
CA-2014-111451,12/26/2014,27.552,3,0.2,16.5312,9.2988
CA-2016-142545,10/28/2016,32.4,5,0,0,15.552
CA-2016-142545,10/28/2016,1082.48,8,0,0,10.8248
CA-2016-142545,10/28/2016,56.91,3,0,0,27.3168
CA-2016-142545,10/28/2016,77.6,4,0,0,38.024
CA-2016-142545,10/28/2016,14.28,1,0,0,6.5688
US-2017-152380,11/19/2017,219.075,3,0.5,328.6125,-131.445
CA-2015-144253,5/4/2015,26.8,2,0,0,12.864
CA-2014-130960,12/30/2014,9.84,3,0,0,2.8536
CA-2014-111003,6/1/2014,45.48,3,0,0,20.9208
CA-2014-111003,6/1/2014,289.2,6,0,0,83.868
CA-2017-126774,4/15/2017,4.89,1,0,0,2.0049
CA-2016-142902,9/12/2016,15.136,4,0.2,12.1088,3.5948
CA-2016-142902,9/12/2016,466.768,2,0.2,186.7072,52.5114
CA-2016-142902,9/12/2016,15.232,1,0.2,3.0464,1.7136
CA-2016-142902,9/12/2016,6.264,3,0.2,3.7584,2.0358
CA-2014-120887,9/27/2014,87.54,3,0,0,37.6422
CA-2014-167850,8/9/2014,178.384,2,0.2,71.3536,22.298
CA-2014-167850,8/9/2014,15.552,3,0.2,9.3312,5.4432
CA-2014-164259,12/28/2014,99.136,4,0.2,79.3088,8.6744
CA-2014-164973,11/4/2014,135.882,1,0.1,13.5882,24.1568
CA-2014-164973,11/4/2014,3991.98,2,0,0,1995.99
CA-2014-164973,11/4/2014,275.94,6,0,0,80.0226
CA-2014-164973,11/4/2014,360,4,0,0,129.6
CA-2014-164973,11/4/2014,43.57,1,0,0,13.071
CA-2014-156601,9/19/2014,7.16,2,0,0,3.58
CA-2016-162138,4/23/2016,251.52,6,0.2,301.824,81.744
CA-2016-162138,4/23/2016,99.99,1,0,0,34.9965
CA-2017-153339,11/3/2017,15.992,1,0.2,3.1984,0.9995
US-2016-141544,8/30/2016,290.898,3,0.4,349.0776,-67.8762
US-2016-141544,8/30/2016,54.224,2,0.2,21.6896,3.389
US-2016-141544,8/30/2016,786.744,4,0.3,944.0928,-258.5016
US-2016-141544,8/30/2016,100.24,10,0.2,200.48,33.831
US-2016-141544,8/30/2016,37.764,6,0.7,158.6088,-27.6936
US-2016-150147,4/25/2016,82.8,2,0.4,66.24,-20.7
US-2016-150147,4/25/2016,20.724,2,0.7,29.0136,-13.816
US-2016-150147,4/25/2016,4.896,3,0.7,10.2816,-3.4272
CA-2015-137946,9/1/2015,4.752,1,0.2,0.9504,1.6038
CA-2015-137946,9/1/2015,959.984,2,0.2,383.9936,335.9944
CA-2015-137946,9/1/2015,14.368,4,0.2,11.4944,4.49
CA-2014-129924,7/12/2014,7.712,2,0.2,3.0848,2.7956
CA-2014-129924,7/12/2014,698.352,3,0.2,419.0112,-17.4588
CA-2015-128167,6/22/2015,4.96,4,0,0,2.3312
CA-2014-122336,4/13/2014,17.856,4,0.2,14.2848,1.116
CA-2014-122336,4/13/2014,509.97,10,0.7,3569.79,-407.976
CA-2014-122336,4/13/2014,30.992,13,0.2,80.5792,10.0724
CA-2014-122336,4/13/2014,71.928,12,0.4,345.2544,8.3916
US-2015-120712,12/20/2015,88.8,4,0.2,71.04,-2.22
CA-2017-169901,6/15/2017,47.976,3,0.2,28.7856,4.7976
CA-2017-134306,7/8/2017,7.56,3,0,0,3.0996
CA-2017-134306,7/8/2017,24.56,2,0,0,11.5432
CA-2017-134306,7/8/2017,12.96,2,0,0,4.1472
CA-2016-129714,9/1/2016,6.79,1,0,0,2.3086
CA-2016-129714,9/1/2016,24.56,2,0,0,11.5432
CA-2016-129714,9/1/2016,3.048,1,0.2,0.6096,1.0668
CA-2016-129714,9/1/2016,49.12,4,0,0,23.0864
CA-2016-129714,9/1/2016,4355.168,4,0.2,3484.1344,1415.4296
CA-2016-138520,4/8/2016,388.704,6,0.2,466.4448,-4.8588
CA-2016-138520,4/8/2016,8.26,2,0,0,3.7996
CA-2016-138520,4/8/2016,17.04,4,0,0,6.9864
CA-2016-138520,4/8/2016,34.4,5,0,0,15.824
CA-2016-130001,4/23/2016,36.24,5,0.2,36.24,11.325
CA-2017-155698,3/8/2017,647.84,8,0,0,168.4384
CA-2017-155698,3/8/2017,20.7,2,0,0,9.936
CA-2017-144904,9/25/2017,20.7,2,0,0,9.936
CA-2017-144904,9/25/2017,488.646,3,0.1,146.5938,86.8704
CA-2017-144904,9/25/2017,5.56,2,0,0,1.4456
CA-2017-144904,9/25/2017,47.12,8,0,0,20.7328
CA-2014-123344,9/24/2014,211.96,4,0,0,8.4784
CA-2016-155516,10/21/2016,23.2,4,0,0,10.44
CA-2016-155516,10/21/2016,7.36,2,0,0,0.1472
CA-2016-155516,10/21/2016,104.79,7,0,0,29.3412
CA-2016-155516,10/21/2016,1043.92,4,0,0,271.4192
CA-2017-104745,5/29/2017,25.92,5,0.2,25.92,9.396
CA-2017-104745,5/29/2017,53.424,3,0.2,32.0544,4.6746
US-2014-119137,7/23/2014,8.16,5,0.7,28.56,-5.712
US-2014-119137,7/23/2014,1023.936,8,0.2,1638.2976,179.1888
US-2014-119137,7/23/2014,9.24,1,0.2,1.848,0.924
US-2014-119137,7/23/2014,479.04,10,0.2,958.08,-29.94
US-2016-134656,9/28/2016,99.136,4,0.2,79.3088,30.98
US-2017-134481,8/27/2017,1488.424,7,0.3,3125.6904,-297.6848
CA-2015-130792,4/28/2015,8.652,3,0.8,20.7648,-20.3322
CA-2015-130792,4/28/2015,23.832,3,0.2,14.2992,2.6811
CA-2015-130792,4/28/2015,12.176,4,0.8,38.9632,-18.8728
CA-2016-134775,10/28/2016,50.96,7,0,0,25.48
CA-2016-134775,10/28/2016,49.536,3,0.2,29.7216,17.3376
CA-2015-125395,6/26/2015,41.9,2,0,0,8.799
US-2015-168935,11/27/2015,375.4575,3,0.45,506.867625,-157.0095
US-2015-168935,11/27/2015,83.976,3,0.2,50.3856,-1.0497
CA-2015-122756,12/3/2015,482.34,4,0.7,1350.552,-337.638
CA-2015-122756,12/3/2015,2.96,1,0.2,0.592,0.777
CA-2014-115973,11/24/2014,2.624,1,0.2,0.5248,0.4264
CA-2017-101798,12/11/2017,23.36,4,0.2,18.688,7.884
CA-2017-101798,12/11/2017,39.98,2,0,0,13.5932
US-2014-135972,9/21/2014,246.384,2,0.2,98.5536,27.7182
US-2014-135972,9/21/2014,1799.97,3,0,0,701.9883
US-2014-134971,6/7/2014,12.462,3,0.8,29.9088,-20.5623
CA-2017-102946,6/30/2017,75.792,3,0.2,45.4752,25.5798
CA-2017-165603,10/17/2017,49.96,2,0,0,9.4924
CA-2017-165603,10/17/2017,12.96,2,0,0,6.2208
CA-2015-122259,10/31/2015,70.12,4,0,0,21.036
CA-2016-108987,9/8/2016,35.952,3,0.2,21.5712,3.5952
CA-2016-108987,9/8/2016,2396.2656,4,0.32,3067.219968,-317.1528
CA-2016-108987,9/8/2016,131.136,4,0.2,104.9088,-32.784
CA-2016-108987,9/8/2016,57.584,2,0.2,23.0336,0.7198
CA-2014-113166,12/24/2014,9.568,2,0.2,3.8272,3.4684
CA-2014-155208,4/16/2014,39.072,6,0.2,46.8864,9.768
CA-2017-117933,12/24/2017,35.91,3,0,0,9.6957
CA-2017-117457,12/8/2017,179.95,5,0,0,37.7895
CA-2017-117457,12/8/2017,1199.976,3,0.2,719.9856,434.9913
CA-2017-117457,12/8/2017,27.15,5,0,0,13.3035
CA-2017-117457,12/8/2017,1004.024,7,0.2,1405.6336,-112.9527
CA-2017-117457,12/8/2017,9.68,1,0,0,4.6464
CA-2017-117457,12/8/2017,28.35,9,0,0,13.608
CA-2017-117457,12/8/2017,55.98,1,0,0,27.4302
CA-2017-117457,12/8/2017,1336.829,13,0.15,2606.81655,31.4548
CA-2017-117457,12/8/2017,113.568,2,0.2,45.4272,-18.4548
CA-2017-142636,11/3/2017,139.86,7,0,0,65.7342
